#,Player Name, Player Salary in $ ,
188,Josh Smith,"$5,331,729 ",
189,Cody Zeller,"$5,318,313 ",
190,PJ Tucker,"$5,300,000 ",
191,Brandon Ingram,"$5,281,680 ",
192,Kyle Korver,"$5,239,437 ",
193,Darren Collison,"$5,229,454 ",
194,Larry Sanders,"$5,207,722 ",
195,Langston Galloway,"$5,200,000 ",
196,Derrick Williams,"$5,020,145 ",
197,Jason Smith,"$5,000,000 ",
197,CJ Watson,"$5,000,000 ",
197,Tony Allen,"$5,000,000 ",
197,Roy Hibbert,"$5,000,000 ",
197,Luis Scola,"$5,000,000 ",
197,Jonas Jerebko,"$5,000,000 ",
203,Alexis Ajinca,"$4,863,206 ",
204,Kyle Singler,"$4,837,500 ",
204,Mike Dunleavy,"$4,837,500 ",
206,Joel Embiid,"$4,826,160 ",
207,Alex Len,"$4,823,621 ",
208,Jahlil Okafor,"$4,788,840 ",
209,Jaylen Brown,"$4,743,000 ",
210,Marcus Morris,"$4,625,000 ",
211,CJ Miles,"$4,583,450 ",
212,Jameer Nelson,"$4,540,525 ",
213,Nerlens Noel,"$4,384,490 ",
214,Aaron Gordon,"$4,351,320 ",
215,Greivis Vasquez,"$4,347,826 ",
216,Kristaps Porzingis,"$4,317,720 ",
217,Dragan Bender,"$4,276,320 ",
218,Vince Carter,"$4,264,057 ",
219,Devin Harris,"$4,227,996 ",
220,Jose Juan Barea,"$4,096,950 ",
221,Ben McLemore,"$4,008,882 ",
222,Leandro Barbosa,"$4,000,000 ",
222,Jordan Hill,"$4,000,000 ",
222,Udonis Haslem,"$4,000,000 ",
222,James Johnson,"$4,000,000 ",
222,Thabo Sefolosha,"$4,000,000 ",
227,Dante Exum,"$3,940,320 ",
228,Kyle O'Quinn,"$3,918,750 ",
229,Mario Hezonja,"$3,909,840 ",
230,Kris Dunn,"$3,872,520 ",
231,Nemanja Bjelica,"$3,800,000 ",
232,Nick Collison,"$3,750,000 ",
233,Kentavious Caldwell-Pope,"$3,678,319 ",
234,Quincy Pondexter,"$3,617,978 ",
235,Marcus Smart,"$3,578,880 ",
236,Bojan Bogdanovic,"$3,573,020 ",
237,Willie Cauley-Stein,"$3,551,160 ",
238,Will Barton,"$3,533,333 ",
239,Paul Pierce,"$3,527,920 ",
240,Buddy Hield,"$3,517,200 ",
241,Brandon Rush,"$3,500,000 ",
241,Lavoy Allen,"$3,500,000 ",
241,Mike Miller,"$3,500,000 ",
244,Anthony Morrow,"$3,488,000 ",
245,Trey Burke,"$3,386,597 ",
246,Kevin Martin,"$3,336,000 ",
247,Mike Scott,"$3,333,333 ",
247,KJ McDaniels,"$3,333,333 ",
249,Troy Daniels,"$3,332,940 ",
250,Julius Randle,"$3,267,120 ",
